region,lat,lng
Albany Park,41.9689723,-87.7197245
Andersonville,41.9795718,-87.6700773
Arcadia Terrace,41.9868504,-87.6943982
Archer Heights,41.8108668,-87.7263045
Ashburn,41.7479001,-87.7072177
Avalon Park,41.7477740,-87.5908803
Avondale,41.9415011,-87.7025021
Back of the Yards,41.8066775,-87.6679765
Belmont Central,41.9261544,-87.7777071
Belmont Gardens,41.9353935,-87.7296983
Belmont Heights,41.9430001,-87.8177243
Belmont Terrace,41.9414218,-87.8328712
Beverly,41.7171204,-87.6761796
Beverly Woods,41.6833398,-87.6812670
Big Oaks,41.9721668,-87.7986628
Brainerd,41.7273352,-87.6532921
Bridgeport,41.8365443,-87.6495075
Brighton Park,41.8193797,-87.6990248
Bronzeville,41.8251047,-87.6176022
Bucktown,41.9227067,-87.6802748
Budlong Woods,41.9793856,-87.6963835
Buena Park,41.9576756,-87.6507140
Burnside,41.7281304,-87.5964182
Cabrini Green,41.9010905,-87.6414636
Calumet Heights,41.7298307,-87.5704764
Canaryville,41.8135786,-87.6408469
Chatham,41.7409936,-87.6138818
Chicago Lawn,41.7719419,-87.6954099
Chinatown,41.8506910,-87.6340490
Chrysler Village,41.7763868,-87.7519502
Clearing (W),41.7789975,-87.7825904
Cragin,41.9339534,-87.7562512
Dunning,41.9472072,-87.8064649
East Beverly,41.7062606,-87.6629927
East Chatham,41.7481345,-87.6013568
East Garfield Park,41.8818576,-87.7024817
East Hyde Park,41.7962781,-87.5853043
East Side,41.7079942,-87.5351730
East Ukrainian Village,41.8998114,-87.6722938
Edgebrook,41.9791773,-87.7514364
Edgewater,41.9872447,-87.6612335
Edgewater Beach,41.9871585,-87.6560928
Edgewater Glen,41.9930252,-87.6653544
Edison Park,42.0054486,-87.8132901
Englewood,41.7753050,-87.6416419
Fernwood,41.7079527,-87.6324484
Forest Glen,41.9791773,-87.7514364
Fulton River District,41.8894949,-87.6433644
Gage Park,41.7954363,-87.6962257
Galewood,41.9159778,-87.7984653
Garfield Ridge,41.7941486,-87.7706072
Gold Coast,41.9066994,-87.6253308
Goose Island,41.9044551,-87.6544137
Graceland West,41.9548370,-87.6618810
Grand Crossing,41.7634139,-87.5953825
Greektown,41.8785644,-87.6470504
Gresham,41.7433773,-87.6561995
Heart of Chicago,41.8560275,-87.6761705
Hegewisch,41.6554963,-87.5458624
Hermosa,41.9214731,-87.7343859
Hollywood Park,41.9867885,-87.7232855
Humboldt Park,41.9028390,-87.7070581
Hyde Park,41.7942950,-87.5907010
Irving Park,41.9529604,-87.7212413
Irving Woods,41.9486764,-87.8300628
Jefferson Park,41.9825040,-87.7703998
Kelvin Park,41.9296837,-87.7379647
Kenwood,41.8094772,-87.5932664
Kilbourn Park,41.9440637,-87.7389881
Lake View,41.9435601,-87.6583642
Lake View East,41.9413585,-87.6443089
Lathrop Homes,41.9328858,-87.6809190
LeClaire Courts,41.8103445,-87.7499524
Lincoln Park,41.9214378,-87.6513043
Lincoln Square,41.9699483,-87.6886779
Little Village,41.8458158,-87.7058230
Logan Square,41.9230598,-87.7092908
Longwood Manor,41.7179870,-87.6461819
Magnolia Glen,41.9883635,-87.6639757
Marquette Park,41.7709226,-87.7028747
Marynook,41.7392485,-87.5927138
Mayfair,41.9718310,-87.7378659
McKinley Park,41.8316175,-87.6729074
Montclare,41.9293820,-87.7981597
Morgan Park,41.6878395,-87.6690026
Mount Greenwood,41.6931221,-87.7123547
Near North,41.9003060,-87.6334451
Near West Side,41.8810644,-87.6630450
New Eastside,41.8862397,-87.6174208
Noble Square,41.8993311,-87.6638512
North Austin,41.8929529,-87.7615618
North Center,41.9508915,-87.6827676
North Kenwood,41.8132628,-87.5992004
North Mayfair,41.9718310,-87.7378659
North Park,41.9843203,-87.7259863
Norwood Park East,41.9930188,-87.7896583
Norwood Park West,41.9923008,-87.8140353
O'Hare,41.9741625,-87.9073214
Oakland,41.8226995,-87.6013568
Old Irving Park,41.9527506,-87.7365830
Old Norwood Park,41.9880354,-87.8025502
Old Town,41.9076570,-87.6374143
Old Town Triangle,41.9076570,-87.6374143
Oriole Park,41.9793922,-87.8152471
Palmer Square,41.9210705,-87.7004823
Park Manor,41.7674951,-87.6162736
Park West,41.9185910,-87.6373810
Parkview,41.9175530,-87.6357420
Pill Hill,41.7262529,-87.5757752
Pilsen,41.8489220,-87.6695189
Portage Park,41.9536620,-87.7644903
Printers Row,41.8738200,-87.6291214
Pulaski Park,41.9061869,-87.6633532
Pullman,41.6895210,-87.6060806
Ranch Triangle,41.9151277,-87.6528359
Ravenswood,41.9681851,-87.6803028
Ravenswood Manor,41.9648891,-87.7012498
River North,41.8923848,-87.6340749
River West,41.8944333,-87.6494808
Rogers Park,42.0106360,-87.6695529
Roscoe Village,41.9425600,-87.6801550
Roseland,41.7112739,-87.6235742
Rosemoor,41.7108030,-87.6121252
Sauganash,41.9902046,-87.7408455
Schorsch Forest View,41.9626472,-87.8414686
Schorsch Village,41.9417830,-87.7948864
Scottsdale,41.7479001,-87.7072177
Sheffield Neighbors,41.9217662,-87.6574319
Sheridan Park,41.9655201,-87.6629672
South Austin,41.8929529,-87.7615618
South Chicago,41.7396861,-87.5544182
South Deering,41.6852465,-87.5692461
South Loop,41.8565453,-87.6271838
South Shore,41.7600005,-87.5741877
Streeterville,41.8927362,-87.6200416
The Gap,41.8923786,-87.6238844
The Loop,41.8786351,-87.6250549
Tri-Taylor,41.8703211,-87.6840000
Ukrainian Village,41.8994127,-87.6844851
Union Ridge,41.9780581,-87.7965891
University Village - Little Italy,41.8686070,-87.6605791
Uptown,41.9665404,-87.6533404
Vittum Park,41.8029957,-87.7483454
Washington Heights,41.7159639,-87.6506310
Washington Park,41.7937913,-87.6108147
West Beverly,41.7056889,-87.6866751
West Chesterfield,41.7309680,-87.6190539
West De Paul,41.9290217,-87.6656217
West Elsdon,41.7928619,-87.7221684
West Englewood,41.7780891,-87.6667177
West Garfield Park,41.8805878,-87.7292226
West Humboldt Park,41.9025449,-87.7352909
West Lawn,41.7728107,-87.7222750
West Loop Gate,41.8799926,-87.6406223
West Morgan Park,41.6956426,-87.6860427
West Pullman,41.6716306,-87.6333462
West Rogers Park,42.0005804,-87.6925767
West Town,41.8935946,-87.6721671
West Woodlawn,41.7794339,-87.6105860
Wicker Park,41.9088028,-87.6795985
Wildwood,42.0065232,-87.7758767
Woodlawn,41.7802280,-87.5939087
Wrightwood,41.7457371,-87.6912862
Wrightwood Neighbors,41.9285649,-87.6563505
Wrigleyville,41.9490620,-87.6565160